date,station,particle,replicate,file,phase,batch,raman_gt,raman_conf,gt_source,support_level,withheld,tie_break,B_label,B_r,spec_class,omnic_name,hqi,openspecy_name,openspecy_match_val,ml_name,ml_prob,simple_name,simple_score,confidence,carbonyl_index,openspecy_material_class,openspecy_plastic,openspecy_top3,openspecy_status,ml_status
06.28,S1,1,1,0628S1-1.CSV,phase2,train,polyolefin_PE,tentative,rule,B,False,False,polyolefin_PE,0.095,polyolefin_PE,Blue Spruce,71.04,pe 30. black fragment,0.724418847578191,poly(ethylene),0.810336417153803,algae_fucus_serratus,0.706214728691247,tentative,0.0617896263882506,poly(ethylene),plastic,pe 30. black fragment (0.72) | (05) ps (0.71) | (05) ps (0.71),hit,hit
06.28,S1,4,1,0628S1-4.CSV,phase2,train,polyolefin_PP,confident,rule,A+,False,False,polyolefin_PP,0.969,polyolefin_unresolved,ARC 1001 (cast),92.41,pe 46. pink fragment,0.708758164555596,poly(ethylene),0.856002950231621,polyamide_66,0.738698879331478,tentative,0.1036384506050402,poly(ethylene),plastic,pe 46. pink fragment (0.71) | polyethylene (0.70) | polyethylene (0.67),hit,hit
06.28,S1,5,1,0628S1-5.CSV,phase2,train,polyolefin_PE,confident,rule,A+,False,False,polyolefin_PE,0.936,polyolefin_PE,Duct tape (Back side),90.36,ldpe,0.839261668310029,poly(ethylene),0.873719375827279,polyethylene_high_density,0.92305841888064,tentative,0.193140633682828,poly(ethylene),plastic,ldpe (0.84) | pe (0.84) | pe (0.84),hit,hit
07.11,S1,1,1,0711S1-1.CSV,heldout_july,heldout_1,polyolefin_PE,tentative,rule,A,False,False,polyolefin_PE,0.95,polyolefin_PE,Duct tape (Back side),97.04,pe,0.863124071977299,poly(ethylene),0.919410224099479,polyethylene_high_density,0.940120071687473,tentative,0.0651959336081359,poly(ethylene),plastic,pe (0.86) | pe (0.86) | pe (0.86),hit,hit
07.11,S1,3,1,0711S1-3.CSV,heldout_july,heldout_1,polyolefin_PE,tentative,rule,A,False,False,polyolefin_PE,0.955,polyolefin_PE,Duct tape (Back side),97.52,pe,0.872346398837488,poly(ethylene),0.924634509577686,polyethylene_high_density,0.957747179376622,tentative,0.1350551519266366,poly(ethylene),plastic,pe (0.87) | hdpe.2 (0.87) | pe (0.87),hit,hit
07.12,S1,1,1,0712S1-1.CSV,heldout_july,heldout_1,polyolefin_PE,tentative,rule,A,False,False,polyolefin_PE,0.945,polyolefin_PE,Duct tape (Back side),97.37,eps,0.876098800519401,poly(ethylene),0.900156165347574,polyethylene_high_density,0.957961943600725,tentative,0.0514505313743971,"polystyrenes (polyphenylethylenes, -methylstyrene)",plastic,eps (0.88) | eps (0.88) | pe (0.88),hit,hit
07.12,S1,10,1,0712S1-10.CSV,heldout_july,heldout_1,polyolefin_PE,tentative,rule,A,False,False,polyolefin_PE,0.961,polyolefin_PE,Duct tape (Back side),94.28,pp,0.85407539634426,poly(ethylene),0.82244180260694,polyethylene_low_density,0.926483943041589,tentative,0.4269167986902568,poly(propylene),plastic,pp (0.85) | pp (0.85) | pp (0.85),hit,hit
07.12,S1,12,1,0712S1-12.CSV,heldout_july,heldout_1,polyolefin_PP,confident,rule,A+,False,False,polyolefin_PP,0.96,polyolefin_PP,"Polypropylene, isotactic, average MW ca. 250,000",81.03,pe,0.686700514740024,poly(propylene),0.811777300754895,polypropylene,0.808890143091446,confident,0.1802449873493396,poly(ethylene),plastic,pe (0.69) | pe (0.69) | pe (0.68),below_threshold,hit
07.12,S1,13,1,0712S1-13.CSV,heldout_july,heldout_1,polyolefin_PP,tentative,rule,C,False,False,natural_organic,0.296,PVDF,Spearmint Altoid,67.5,levyne-na,0.606680314014826,poly(esters/ethers/diglycidylethers/terephthalates)s,0.966183209713089,algae_fucus_serratus,0.575377230157677,confident,,mineral,not plastic,levyne-na (0.61) | levynena__r060021-1__infrared__infrared_data_processed__817 (0.61) | hastingsite__r070124-1__infrared__infrared_data_processed__1043 (0.60),below_threshold,hit
07.12,S1,2,1,0712S1-2.CSV,heldout_july,heldout_1,polyolefin_PP,tentative,rule,B,False,False,polyolefin_PP,0.112,polyolefin_PP,Polypropylene + 20% talc,74.4,pe,0.7283518000777,ethylene-vinyl acetate,0.391824579504349,polypropylene,0.700565629715635,confident,0.1239474682899327,poly(ethylene),plastic,pe (0.73) | pe (0.73) | pe (0.73),hit,hit
